Date,TradeStat,Sector,Measure,Value
1997-10-01,E,MET,WMF,779.26506678
1997-10-01,E,MET,N,
1997-10-01,E,MET,R,
1997-10-01,E,FZ,WMF,954.8128813
1997-10-01,E,FZ,N,
1997-10-01,E,FZ,R,
1997-10-01,E,TBS,WMF,717.97317226
1997-10-01,E,TBS,N,
1997-10-01,E,TBS,R,
1997-10-01,A,GT,WMF,8806.07690717
1997-10-01,A,GT,N,
1997-10-01,A,GT,R,
1997-10-01,A,CHEM,WMF,2525.02276035
1997-10-01,A,CHEM,N,
1997-10-01,A,CHEM,R,
1997-10-01,A,ME,WMF,2682.19210969
1997-10-01,A,ME,N,
1997-10-01,A,ME,R,
1997-10-01,A,UHR,WMF,683.22430177
1997-10-01,A,UHR,N,
1997-10-01,A,UHR,R,
1997-10-01,A,PI,WMF,493.13121008
1997-10-01,A,PI,N,
1997-10-01,A,PI,R,
1997-10-01,A,MET,WMF,795.98300652
1997-10-01,A,MET,N,
1997-10-01,A,MET,R,
1997-10-01,A,FZ,WMF,231.63478573
1997-10-01,A,FZ,N,
1997-10-01,A,FZ,R,
1997-10-01,A,TBS,WMF,334.66901017
1997-10-01,A,TBS,N,
1997-10-01,A,TBS,R,
1997-10-01,H,GT,WMF,73.36217737
1997-11-01,E,GT,WMF,8625.0407349
1997-11-01,E,GT,N,
1997-11-01,E,GT,R,
1997-11-01,E,CHEM,WMF,1369.26829938
1997-11-01,E,CHEM,N,
1997-11-01,E,CHEM,R,
1997-11-01,E,ME,WMF,1955.79253281
1997-11-01,E,ME,N,
1997-11-01,E,ME,R,
1997-11-01,E,UHR,WMF,108.54471379
1997-11-01,E,UHR,N,
1997-11-01,E,UHR,R,
1997-11-01,E,PI,WMF,278.26955001
1997-11-01,E,PI,N,
1997-11-01,E,PI,R,
1997-11-01,E,MET,WMF,787.85019669
1997-11-01,E,MET,N,
1997-11-01,E,MET,R,
1997-11-01,E,FZ,WMF,943.58709401
1997-11-01,E,FZ,N,
1997-11-01,E,FZ,R,
1997-11-01,E,TBS,WMF,711.90820746
1997-11-01,E,TBS,N,
1997-11-01,E,TBS,R,
1997-11-01,A,GT,WMF,8817.92853383
1997-11-01,A,GT,N,
1997-11-01,A,GT,R,
1997-11-01,A,CHEM,WMF,2568.43816921
1997-11-01,A,CHEM,N,
1997-11-01,A,CHEM,R,
