location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220115T1500,3.7602453,0.0,4.6938257,147.52881
20220115T1600,2.9002452,0.0,5.4833565,156.8014
20220115T1700,-0.24975461,0.0,3.396233,147.99461
20220115T1800,-0.87975454,0.0,4.1046314,142.12502
20220115T1900,-1.5597545,0.0,4.39436,145.00798
20220115T2000,-1.8997546,0.0,5.00128,149.74356
20220115T2100,-2.0397544,0.0,5.315336,151.69923
20220115T2200,-2.0497546,0.0,3.8939953,146.30994
20220115T2300,-2.1797547,0.0,4.6938257,147.52881
20220116T0000,-2.2897544,0.0,4.6800003,157.38013
20220116T0100,-2.3097544,0.0,4.3349743,175.23636
20220116T0200,-2.0197544,0.0,4.32,180.0
20220116T0300,-1.8297547,0.0,5.4119864,183.81407
20220116T0400,-1.8697547,0.0,5.4477882,187.59465
20220116T0500,-1.9497546,0.0,5.937272,194.03624
20220116T0600,-2.1097546,0.0,6.28713,193.24052
20220116T0700,-2.3297548,0.0,6.0347,197.35403
20220116T0800,-1.9597546,0.0,6.379216,196.38954
20220116T0900,-0.8497546,0.0,7.172949,197.52557
20220116T1000,0.1802454,0.0,8.225035,246.8014
20220116T1100,0.7602454,0.0,9.227524,249.44395
20220116T1200,1.6402454,0.0,9.227524,249.44395
20220116T1300,2.3102455,0.0,8.557102,255.37914
20220116T1400,2.2402453,0.0,7.928178,267.39746
20220116T1500,2.0102453,0.0,5.7599998,270.0
20220116T1600,0.2402454,0.0,7.172949,252.47443
20220116T1700,-0.52975464,0.0,6.4096174,218.15723
20220116T1800,-0.3797546,0.0,5.3517847,199.65382
20220116T1900,0.13024542,0.0,7.072878,194.74356
20220116T2000,0.19024539,0.0,6.638072,192.52881
20220116T2100,0.5902454,0.0,4.5536795,198.43495
20220116T2200,0.6602454,0.1,4.8965297,216.02737
20220116T2300,0.9302454,0.2,4.8433046,221.98721
20220117T0000,0.9302454,0.1,4.072935,225.0
20220117T0100,0.8602454,0.1,4.1046314,217.87498
20220117T0200,0.7502454,0.1,3.8939953,213.69006
20220117T0300,0.4402454,0.0,4.3498964,204.44395
20220117T0400,0.84024537,0.0,5.315336,208.30077
20220117T0500,0.77024543,0.0,3.7064266,209.05461
20220117T0600,0.6802454,0.0,3.7064266,209.05461
20220117T0700,-0.0697546,0.0,5.1919937,213.69006
