location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Precipitation Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,mm,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Maximum,Minimum,Mean,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m]
20220712T0000,28.31053,15.8005295,22.564697,0.0,11.609651,0.8049845,5.8506045,104.80642
20220713T0000,32.17053,15.290529,25.04011,0.0,13.661038,4.8433046,7.7093053,126.542755
20220714T0000,34.59053,20.840528,28.118446,0.0,25.40743,0.5091169,11.750619,271.74326
20220715T0000,28.70053,15.930529,22.4047,0.0,16.24394,1.484318,9.484935,341.32477
20220716T0000,28.240528,14.630529,21.686363,0.0,19.06301,1.8,8.810474,7.9776154
20220717T0000,30.350529,13.710529,22.63886,0.0,9.387651,0.35999998,5.024105,86.003296
20220718T0000,33.12053,16.65053,25.45136,0.0,17.731598,3.6179552,9.678029,107.8282
20220719T0000,35.060528,18.32053,27.573446,0.0,17.309973,8.654987,12.39471,117.642975
20220720T0000,34.82053,22.190529,28.080948,2.8,17.106628,0.8049845,8.755793,266.3761
20220721T0000,29.840528,18.87053,24.782614,0.3,16.700275,0.71999997,5.6930065,273.13025
20220722T0000,32.34053,17.770529,26.012194,0.0,8.287822,0.35999998,5.0706196,100.08938
20220723T0000,29.530529,20.20053,25.208448,0.1,18.089775,3.096837,9.346112,261.5525
20220724T0000,31.510529,19.14053,25.997198,0.0,12.661564,4.1046314,7.8165436,109.97321
20220725T0000,34.19053,21.740528,27.763863,0.0,27.419146,3.2599385,14.332798,258.72607
20220726T0000,27.530529,20.020529,24.169275,0.0,12.287555,5.315336,8.7264185,301.76898
20220727T0000,26.360529,15.820529,21.494698,0.0,16.516901,1.08,8.370038,15.997025
20220728T0000,29.73053,13.770529,22.575945,0.1,6.8399997,1.1384199,4.019589,245.22487
20220729T0000,29.87053,17.670528,22.998446,0.6,24.014996,3.6,8.887938,229.65825
20220730T0000,28.850529,16.56053,23.50178,0.0,15.7908325,3.319036,7.729019,275.85602
20220731T0000,31.38053,17.96053,25.180529,0.0,15.042659,1.484318,7.010238,246.40518
20220801T0000,31.090528,19.22053,25.51178,0.90000004,18.079027,0.35999998,6.535087,320.1104
20220802T0000,30.39053,18.750528,25.242613,0.0,9.9571085,2.16,4.737928,108.59771
20220803T0000,33.37053,19.71053,27.16553,0.0,11.966954,3.5455887,7.677014,113.12084
20220804T0000,35.950527,22.740528,29.525526,0.0,10.390226,3.0547013,7.2801824,146.03857
20220805T0000,34.700527,20.170528,28.325949,0.3,22.691425,0.0,13.120198,319.4431
20220806T0000,25.97053,17.40053,21.517614,0.0,19.493261,1.9386592,9.459128,58.25209
20220807T0000,28.770529,12.5505295,21.020945,0.0,15.39184,3.0758414,7.9427342,48.33632
20220808T0000,29.47053,14.310529,21.96553,0.0,16.343367,2.6208394,8.168769,79.11447
20220809T0000,29.990528,15.320529,22.849699,0.0,20.880001,0.8049845,10.128515,87.781906
20220810T0000,29.500528,15.3005295,22.418444,0.0,25.683926,1.609969,11.968449,90.88549
20220811T0000,29.73053,14.700529,22.670944,0.0,11.367109,1.4399999,7.0151258,107.45122
20220812T0000,28.590528,14.810529,22.085945,0.0,24.842607,0.35999998,12.732914,101.21251
20220813T0000,29.090528,13.410529,21.674696,0.0,20.163212,0.0,9.90269,108.40561
20220814T0000,30.190529,14.250529,21.898863,0.1,28.496904,1.4399999,12.881753,208.51756
20220815T0000,25.20053,16.110529,21.085112,0.8,15.119999,2.5455842,8.792589,213.10364
20220816T0000,30.22053,16.54053,23.85553,0.0,15.315873,6.489992,9.83072,117.88334
20220817T0000,31.500528,18.240528,24.01178,11.3,18.775301,3.5455887,8.686636,105.482475
20220818T0000,21.88053,17.97053,19.752611,6.2999997,13.779114,2.2768397,10.138447,295.81287
20220819T0000,24.260529,17.190529,20.35386,5.6999993,19.70815,8.669949,15.117489,271.01736
20220820T0000,24.440529,17.20053,20.52303,10.8,17.551615,5.315336,7.971579,262.66138
20220821T0000,26.21053,15.310529,21.395945,0.0,5.8048253,1.08,4.005388,105.179924
20220822T0000,26.97053,17.100529,22.390945,0.0,9.028754,2.5455842,5.929033,117.18527
20220823T0000,28.330528,17.420528,22.953445,0.0,13.138765,4.072935,9.190565,116.96109
20220824T0000,29.490528,16.65053,23.127195,0.0,18.03237,6.9153743,11.772919,115.72989
20220825T0000,29.910528,17.32053,23.865526,0.0,12.313893,2.6208394,7.555095,107.31893
20220826T0000,29.350529,19.07053,23.800116,0.0,16.595179,1.484318,7.453584,320.69443
20220827T0000,24.37053,17.600529,20.955114,0.0,7.2359104,1.609969,4.476739,42.27368
20220828T0000,26.47053,14.870529,21.084282,0.0,12.979984,1.8,8.0041685,98.60523
20220829T0000,28.13053,15.680529,22.298027,0.0,8.287822,1.4399999,5.439008,100.498024
