"PERIOD","SECTOR","CLASSIFICATION","VALUE","STATUS","UNIT_MEAS"
"1999","S.1","P.5111be","81471.3473084422","A","Y"
"1999","S.1","P.5111be","5.94705108701819","A","AC"
"1999","S.1","P.5111be","6.44875320302152","A","ACPP"
"1999","S.1","P.5111c","40865.1338480095","A","MCHF"
"1999","S.1","P.5111c","39956.7698567363","A","Y"
"1999","S.1","P.5111c","-1.43701721974182","A","AC"
"1999","S.1","P.5111c","-3.62790847591791","A","ACPP"
"1999","S.1","P.52","-1585.79421063779","A","MCHF"
"1999","S.1","P.52","-214.736616879585","A","Y"
"1999","S.1","P.52","-298.604496893212","A","AC"
"1999","S.1","P.52","-126.893563788941","A","ACPP"
"1999","S.1","P.53","808.246255418642","A","MCHF"
"1999","S.1","P.53","906.227506155086","A","Y"
"1999","S.1","P.53","-55.3490933161948","A","AC"
"1999","S.1","P.53","-49.9361988498549","A","ACPP"
"1999","S.1","P.5","121174.951744349","A","MCHF"
"1999","S.1","P.5","122119.608054454","A","Y"
"1999","S.1","P.5","0.472332108567602","A","AC"
"1999","S.1","P.5","1.25559483036774","A","ACPP"
"1999","S.13","P.3","50796.3197438","A","MCHF"
"1999","S.13","P.3","50933.3702983571","A","Y"
"1999","S.13","P.3","1.86611697556048","A","AC"
"1999","S.13","P.3","2.14095593815645","A","ACPP"
"1999","S.14+S15","P.3","258736.85267592","A","MCHF"
"1999","S.14+S15","P.3","258298.403220945","A","Y"
"1999","S.14+S15","P.3","2.31564651671947","A","AC"
"1999","S.14+S15","P.3","2.14226480094661","A","ACPP"
"1999","S.2","P.7","192571.372975924","A","MCHF"
"1999","S.2","P.7","193153.839258614","A","Y"
"1999","S.2","P.7","3.67063473610586","A","AC"
"1999","S.2","P.7","3.98420496363086","A","ACPP"
"1999","S.2","P.71","139560.88943646","A","MCHF"
"1999","S.2","P.71","139884.804816451","A","Y"
"1999","S.2","P.71","1.63151278930984","A","AC"
"1999","S.2","P.71","1.86739556576059","A","ACPP"
"1999","S.2","P.71c","121893.318978675","A","MCHF"
"1999","S.2","P.71c","122044.105519805","A","Y"
"1999","S.2","P.71c","3.81280709211116","A","AC"
"1999","S.2","P.71c","3.94122737172595","A","ACPP"
"1999","S.2","P.72","53010.4835394642","A","MCHF"
